"id"	"activity"
"obs_535"	"Sitting"
"obs_3736"	"Sitting"
"obs_4705"	"Self Pace walk"
"obs_241"	"Self Pace walk"
"obs_5830"	"Self Pace walk"
"obs_5985"	"Self Pace walk"
"obs_3705"	"Lying"
"obs_998"	"Lying"
"obs_5539"	"Running 3 METs"
"obs_3413"	"Running 3 METs"
"obs_786"	"Running 5 METs"
"obs_2974"	"Lying"
"obs_570"	"Lying"
"obs_4884"	"Running 5 METs"
"obs_4299"	"Running 5 METs"
"obs_2272"	"Running 5 METs"
"obs_206"	"Running 5 METs"
"obs_1216"	"Running 5 METs"
"obs_4929"	"Sitting"
"obs_5263"	"Running 7 METs"
"obs_2624"	"Running 7 METs"
"obs_600"	"Running 7 METs"
"obs_2332"	"Lying"
"obs_5821"	"Lying"
"obs_4478"	"Lying"
"obs_5439"	"Sitting"
"obs_5171"	"Self Pace walk"
"obs_4903"	"Self Pace walk"
"obs_352"	"Self Pace walk"
"obs_5883"	"Self Pace walk"
"obs_2695"	"Self Pace walk"
"obs_2859"	"Self Pace walk"
"obs_727"	"Running 3 METs"
"obs_2180"	"Running 3 METs"
"obs_1485"	"Running 3 METs"
"obs_263"	"Running 3 METs"
"obs_3310"	"Lying"
"obs_841"	"Lying"
"obs_704"	"Running 5 METs"
"obs_5338"	"Running 5 METs"
"obs_23"	"Running 5 METs"
"obs_4167"	"Running 5 METs"
"obs_1956"	"Running 5 METs"
"obs_1329"	"Sitting"
"obs_5785"	"Running 7 METs"
"obs_2340"	"Running 7 METs"
"obs_3494"	"Lying"
"obs_3184"	"Lying"
"obs_1558"	"Self Pace walk"
"obs_870"	"Self Pace walk"
"obs_5426"	"Self Pace walk"
"obs_3489"	"Self Pace walk"
"obs_4560"	"Self Pace walk"
"obs_3306"	"Self Pace walk"
"obs_3717"	"Self Pace walk"
"obs_6095"	"Lying"
"obs_5698"	"Lying"
"obs_5782"	"Running 3 METs"
"obs_4492"	"Running 3 METs"
"obs_1371"	"Running 3 METs"
"obs_1961"	"Lying"
"obs_4853"	"Running 3 METs"
"obs_3344"	"Running 5 METs"
"obs_1056"	"Running 5 METs"
"obs_4220"	"Running 5 METs"
"obs_606"	"Running 5 METs"
"obs_103"	"Running 5 METs"
"obs_2703"	"Running 5 METs"
"obs_4469"	"Sitting"
"obs_2573"	"Running 7 METs"
"obs_2976"	"Running 7 METs"
"obs_5082"	"Running 7 METs"
"obs_5009"	"Running 7 METs"
"obs_1728"	"Running 7 METs"
"obs_3019"	"Lying"
"obs_4607"	"Lying"
"obs_5242"	"Lying"
"obs_5935"	"Sitting"
"obs_1710"	"Self Pace walk"
"obs_5819"	"Self Pace walk"
"obs_4091"	"Self Pace walk"
"obs_2998"	"Self Pace walk"
"obs_4123"	"Self Pace walk"
"obs_1150"	"Lying"
"obs_5441"	"Running 3 METs"
"obs_2025"	"Running 3 METs"
"obs_2840"	"Running 3 METs"
"obs_4443"	"Running 3 METs"
"obs_6206"	"Running 3 METs"
"obs_5255"	"Running 3 METs"
"obs_5947"	"Lying"
"obs_208"	"Lying"
"obs_1294"	"Lying"
"obs_4931"	"Lying"
"obs_4502"	"Running 5 METs"
"obs_86"	"Running 5 METs"
"obs_1065"	"Running 7 METs"
"obs_225"	"Running 7 METs"
"obs_5797"	"Running 7 METs"
"obs_2650"	"Running 7 METs"
"obs_3264"	"Sitting"
"obs_2522"	"Sitting"
"obs_2651"	"Sitting"
"obs_2674"	"Sitting"
"obs_824"	"Running 5 METs"
"obs_6008"	"Running 5 METs"
"obs_1138"	"Self Pace walk"
"obs_2521"	"Self Pace walk"
"obs_6238"	"Running 3 METs"
"obs_4731"	"Running 3 METs"
"obs_2302"	"Running 3 METs"
"obs_2004"	"Lying"
"obs_125"	"Lying"
"obs_1073"	"Running 5 METs"
"obs_137"	"Running 5 METs"
"obs_3900"	"Running 5 METs"
"obs_909"	"Running 5 METs"
"obs_1081"	"Running 5 METs"
"obs_2821"	"Sitting"
"obs_2416"	"Running 7 METs"
"obs_5373"	"Running 7 METs"
"obs_3441"	"Running 7 METs"
"obs_5667"	"Lying"
"obs_819"	"Self Pace walk"
"obs_5173"	"Self Pace walk"
"obs_5214"	"Self Pace walk"
"obs_546"	"Self Pace walk"
"obs_3598"	"Self Pace walk"
"obs_5580"	"Self Pace walk"
"obs_3819"	"Lying"
"obs_3621"	"Lying"
"obs_4792"	"Running 3 METs"
"obs_4776"	"Running 3 METs"
"obs_6018"	"Running 3 METs"
"obs_3479"	"Lying"
"obs_1563"	"Running 5 METs"
"obs_5751"	"Running 5 METs"
"obs_4036"	"Sitting"
"obs_679"	"Running 7 METs"
"obs_3920"	"Running 7 METs"
"obs_5516"	"Running 7 METs"
"obs_4576"	"Lying"
"obs_1858"	"Running 7 METs"
"obs_3467"	"Running 7 METs"
"obs_5184"	"Running 7 METs"
"obs_510"	"Sitting"
"obs_4686"	"Sitting"
"obs_2631"	"Self Pace walk"
"obs_284"	"Self Pace walk"
"obs_791"	"Lying"
"obs_1078"	"Lying"
"obs_1587"	"Running 7 METs"
"obs_834"	"Running 3 METs"
"obs_6067"	"Lying"
"obs_840"	"Running 5 METs"
"obs_5512"	"Running 5 METs"
"obs_908"	"Running 5 METs"
"obs_1346"	"Self Pace walk"
"obs_3005"	"Sitting"
"obs_5307"	"Sitting"
"obs_995"	"Sitting"
"obs_2099"	"Running 7 METs"
"obs_3474"	"Running 3 METs"
"obs_484"	"Sitting"
"obs_3891"	"Running 7 METs"
"obs_1804"	"Running 7 METs"
"obs_5163"	"Lying"
"obs_95"	"Running 7 METs"
"obs_2644"	"Self Pace walk"
"obs_3304"	"Self Pace walk"
"obs_3145"	"Self Pace walk"
"obs_4477"	"Running 3 METs"
"obs_2327"	"Lying"
"obs_2761"	"Lying"
"obs_3299"	"Lying"
"obs_5554"	"Lying"
"obs_5033"	"Running 3 METs"
"obs_256"	"Running 3 METs"
"obs_3324"	"Running 3 METs"
"obs_2131"	"Lying"
"obs_3131"	"Running 5 METs"
"obs_6064"	"Running 5 METs"
"obs_6036"	"Running 5 METs"
"obs_4285"	"Running 5 METs"
"obs_2081"	"Running 3 METs"
"obs_2075"	"Running 5 METs"
"obs_428"	"Running 5 METs"
"obs_563"	"Running 5 METs"
"obs_2252"	"Sitting"
"obs_5931"	"Running 7 METs"
"obs_5605"	"Running 7 METs"
"obs_2462"	"Running 5 METs"
"obs_78"	"Running 7 METs"
"obs_3559"	"Running 7 METs"
"obs_5734"	"Running 7 METs"
"obs_1379"	"Lying"
"obs_3670"	"Sitting"
"obs_706"	"Sitting"
"obs_5854"	"Self Pace walk"
"obs_2339"	"Self Pace walk"
"obs_5974"	"Running 3 METs"
"obs_1000"	"Lying"
"obs_3389"	"Lying"
"obs_5187"	"Lying"
"obs_4274"	"Running 5 METs"
"obs_2887"	"Running 5 METs"
"obs_87"	"Running 5 METs"
"obs_3493"	"Running 5 METs"
"obs_2616"	"Running 5 METs"
"obs_1445"	"Running 5 METs"
"obs_84"	"Sitting"
"obs_5750"	"Running 7 METs"
"obs_5196"	"Running 7 METs"
"obs_2142"	"Running 7 METs"
"obs_3144"	"Sitting"
"obs_3995"	"Running 7 METs"
"obs_5894"	"Running 7 METs"
"obs_405"	"Sitting"
"obs_882"	"Sitting"
"obs_1276"	"Sitting"
"obs_2291"	"Self Pace walk"
"obs_5774"	"Self Pace walk"
"obs_5831"	"Self Pace walk"
"obs_4564"	"Self Pace walk"
"obs_4276"	"Self Pace walk"
"obs_4070"	"Lying"
"obs_5943"	"Running 3 METs"
"obs_1336"	"Running 3 METs"
"obs_5436"	"Running 3 METs"
"obs_2932"	"Running 3 METs"
"obs_2139"	"Lying"
"obs_3201"	"Running 5 METs"
"obs_4270"	"Running 5 METs"
"obs_2207"	"Running 5 METs"
"obs_5379"	"Running 5 METs"
"obs_1491"	"Running 5 METs"
"obs_38"	"Sitting"
"obs_3225"	"Running 7 METs"
"obs_4225"	"Running 7 METs"
"obs_4056"	"Running 7 METs"
"obs_4079"	"Lying"
"obs_5464"	"Sitting"
"obs_744"	"Self Pace walk"
"obs_6092"	"Self Pace walk"
"obs_4296"	"Self Pace walk"
"obs_2515"	"Self Pace walk"
"obs_2204"	"Self Pace walk"
"obs_1172"	"Lying"
"obs_68"	"Lying"
"obs_3277"	"Running 3 METs"
"obs_6149"	"Running 3 METs"
"obs_2706"	"Running 3 METs"
"obs_1674"	"Running 3 METs"
"obs_133"	"Running 3 METs"
"obs_4487"	"Lying"
"obs_2073"	"Lying"
"obs_5149"	"Running 5 METs"
"obs_3608"	"Running 5 METs"
"obs_1440"	"Running 5 METs"
"obs_1792"	"Running 5 METs"
"obs_3756"	"Running 5 METs"
"obs_2492"	"Running 7 METs"
"obs_1567"	"Running 7 METs"
"obs_584"	"Running 7 METs"
"obs_3550"	"Sitting"
"obs_5865"	"Sitting"
"obs_5895"	"Self Pace walk"
"obs_5927"	"Self Pace walk"
"obs_3562"	"Running 5 METs"
"obs_6131"	"Self Pace walk"
"obs_106"	"Lying"
"obs_5227"	"Lying"
"obs_4373"	"Lying"
"obs_2353"	"Running 3 METs"
"obs_1486"	"Running 3 METs"
"obs_629"	"Running 3 METs"
"obs_1653"	"Running 3 METs"
"obs_4891"	"Running 5 METs"
"obs_5748"	"Sitting"
"obs_1513"	"Sitting"
"obs_3410"	"Sitting"
"obs_4640"	"Running 7 METs"
"obs_1265"	"Running 7 METs"
"obs_3820"	"Running 7 METs"
"obs_2858"	"Running 7 METs"
"obs_636"	"Running 7 METs"
"obs_3915"	"Lying"
"obs_2144"	"Sitting"
"obs_3956"	"Self Pace walk"
"obs_5059"	"Self Pace walk"
"obs_1857"	"Lying"
"obs_4043"	"Lying"
"obs_2721"	"Lying"
"obs_4947"	"Running 3 METs"
"obs_2294"	"Running 3 METs"
"obs_5823"	"Lying"
"obs_3188"	"Lying"
"obs_2161"	"Lying"
"obs_4124"	"Lying"
"obs_2173"	"Running 5 METs"
"obs_3353"	"Running 5 METs"
"obs_1704"	"Running 5 METs"
"obs_3917"	"Running 5 METs"
"obs_1773"	"Sitting"
"obs_2452"	"Sitting"
"obs_2671"	"Sitting"
"obs_3207"	"Sitting"
"obs_2604"	"Running 7 METs"
"obs_5876"	"Running 7 METs"
"obs_5144"	"Running 7 METs"
"obs_1552"	"Running 7 METs"
"obs_1524"	"Running 7 METs"
"obs_1527"	"Lying"
"obs_3195"	"Sitting"
"obs_5360"	"Self Pace walk"
"obs_2813"	"Self Pace walk"
"obs_2883"	"Self Pace walk"
"obs_355"	"Lying"
"obs_5062"	"Lying"
"obs_1829"	"Running 3 METs"
"obs_948"	"Running 3 METs"
"obs_3775"	"Running 3 METs"
"obs_5928"	"Running 3 METs"
"obs_5657"	"Running 3 METs"
"obs_4294"	"Running 3 METs"
"obs_5573"	"Lying"
"obs_2108"	"Running 5 METs"
"obs_754"	"Running 5 METs"
"obs_5125"	"Sitting"
"obs_3046"	"Running 7 METs"
"obs_4622"	"Running 7 METs"
"obs_4493"	"Running 7 METs"
"obs_4552"	"Running 7 METs"
"obs_2770"	"Lying"
"obs_4137"	"Lying"
"obs_6112"	"Sitting"
"obs_5085"	"Sitting"
"obs_4793"	"Self Pace walk"
"obs_159"	"Self Pace walk"
"obs_3725"	"Self Pace walk"
"obs_1654"	"Self Pace walk"
"obs_5809"	"Lying"
"obs_3133"	"Lying"
"obs_1715"	"Running 3 METs"
"obs_2380"	"Lying"
"obs_171"	"Running 5 METs"
"obs_3238"	"Running 5 METs"
"obs_1084"	"Running 5 METs"
"obs_2405"	"Sitting"
"obs_1047"	"Sitting"
"obs_939"	"Running 3 METs"
"obs_4959"	"Sitting"
"obs_1697"	"Running 7 METs"
"obs_5733"	"Running 7 METs"
"obs_3444"	"Running 7 METs"
"obs_5941"	"Sitting"
"obs_2718"	"Sitting"
"obs_1968"	"Sitting"
"obs_3844"	"Sitting"
"obs_5891"	"Self Pace walk"
"obs_3777"	"Self Pace walk"
"obs_6155"	"Lying"
"obs_3875"	"Lying"
"obs_5619"	"Lying"
"obs_1344"	"Running 3 METs"
"obs_1843"	"Self Pace walk"
"obs_1666"	"Running 5 METs"
"obs_2069"	"Running 5 METs"
"obs_296"	"Running 3 METs"
"obs_3739"	"Running 5 METs"
"obs_5506"	"Sitting"
"obs_2200"	"Sitting"
"obs_3993"	"Running 7 METs"
"obs_1536"	"Running 7 METs"
"obs_3579"	"Running 7 METs"
"obs_5388"	"Running 7 METs"
"obs_5031"	"Lying"
"obs_1707"	"Sitting"
"obs_5922"	"Sitting"
"obs_5938"	"Lying"
"obs_3163"	"Self Pace walk"
"obs_3320"	"Sitting"
"obs_330"	"Running 3 METs"
"obs_3488"	"Running 3 METs"
"obs_1027"	"Running 3 METs"
"obs_5326"	"Lying"
"obs_5485"	"Lying"
"obs_5965"	"Running 5 METs"
"obs_180"	"Running 7 METs"
"obs_4977"	"Sitting"
"obs_419"	"Sitting"
"obs_4369"	"Sitting"
"obs_3027"	"Sitting"
"obs_761"	"Running 5 METs"
"obs_1284"	"Running 5 METs"
"obs_1200"	"Running 7 METs"
"obs_4103"	"Running 7 METs"
"obs_5208"	"Running 7 METs"
"obs_2786"	"Running 7 METs"
"obs_4663"	"Running 7 METs"
"obs_1086"	"Running 7 METs"
"obs_683"	"Lying"
"obs_80"	"Lying"
"obs_4639"	"Self Pace walk"
"obs_75"	"Self Pace walk"
"obs_5383"	"Self Pace walk"
"obs_512"	"Self Pace walk"
"obs_1209"	"Lying"
"obs_1372"	"Lying"
"obs_17"	"Running 3 METs"
"obs_4676"	"Running 3 METs"
"obs_1866"	"Running 3 METs"
"obs_3050"	"Running 3 METs"
"obs_4370"	"Running 3 METs"
"obs_1488"	"Lying"
"obs_3530"	"Lying"
"obs_5145"	"Running 5 METs"
"obs_1867"	"Sitting"
"obs_1370"	"Sitting"
"obs_1834"	"Running 7 METs"
"obs_4063"	"Running 5 METs"
"obs_2215"	"Running 7 METs"
"obs_6145"	"Lying"
"obs_1444"	"Lying"
"obs_5195"	"Running 3 METs"
"obs_179"	"Self Pace walk"
"obs_5540"	"Lying"
"obs_2308"	"Running 3 METs"
"obs_4310"	"Self Pace walk"
"obs_1713"	"Running 5 METs"
"obs_5288"	"Running 5 METs"
"obs_5351"	"Running 5 METs"
"obs_4711"	"Running 5 METs"
"obs_4189"	"Sitting"
"obs_4824"	"Sitting"
"obs_2613"	"Running 7 METs"
"obs_1727"	"Running 7 METs"
"obs_5650"	"Running 7 METs"
"obs_5265"	"Running 7 METs"
"obs_3846"	"Lying"
"obs_3581"	"Sitting"
"obs_3233"	"Running 3 METs"
"obs_10"	"Sitting"
"obs_156"	"Sitting"
"obs_4269"	"Sitting"
"obs_1767"	"Lying"
"obs_3593"	"Self Pace walk"
"obs_5646"	"Self Pace walk"
"obs_5098"	"Running 3 METs"
"obs_1113"	"Sitting"
"obs_121"	"Lying"
"obs_831"	"Running 3 METs"
"obs_3587"	"Running 3 METs"
"obs_2230"	"Lying"
"obs_3878"	"Running 3 METs"
"obs_3620"	"Lying"
"obs_1102"	"Sitting"
"obs_5283"	"Running 7 METs"
"obs_1323"	"Running 5 METs"
"obs_3544"	"Running 5 METs"
"obs_4224"	"Running 5 METs"
"obs_2751"	"Sitting"
"obs_5258"	"Sitting"
"obs_750"	"Lying"
"obs_3702"	"Running 7 METs"
"obs_4498"	"Running 7 METs"
"obs_4446"	"Lying"
"obs_1601"	"Sitting"
"obs_530"	"Sitting"
"obs_694"	"Sitting"
"obs_5954"	"Self Pace walk"
"obs_5488"	"Self Pace walk"
"obs_4860"	"Running 3 METs"
"obs_3418"	"Self Pace walk"
"obs_989"	"Self Pace walk"
"obs_6222"	"Running 3 METs"
"obs_5040"	"Lying"
"obs_3192"	"Running 3 METs"
"obs_4740"	"Running 3 METs"
"obs_4927"	"Running 3 METs"
"obs_3439"	"Running 3 METs"
"obs_1341"	"Running 3 METs"
"obs_4772"	"Running 3 METs"
"obs_5705"	"Running 3 METs"
"obs_2133"	"Running 3 METs"
"obs_297"	"Lying"
"obs_4882"	"Lying"
"obs_353"	"Running 5 METs"
"obs_96"	"Running 5 METs"
"obs_3307"	"Sitting"
"obs_5728"	"Running 5 METs"
"obs_4984"	"Running 5 METs"
"obs_5562"	"Running 5 METs"
"obs_1220"	"Sitting"
"obs_3203"	"Running 7 METs"
"obs_5459"	"Running 7 METs"
"obs_2361"	"Running 7 METs"
"obs_3889"	"Lying"
"obs_5358"	"Self Pace walk"
"obs_1333"	"Sitting"
"obs_2872"	"Sitting"
"obs_1031"	"Sitting"
"obs_5828"	"Self Pace walk"
"obs_2547"	"Lying"
"obs_4298"	"Running 3 METs"
"obs_3345"	"Lying"
"obs_3397"	"Running 3 METs"
"obs_710"	"Lying"
"obs_1652"	"Lying"
"obs_5111"	"Lying"
"obs_2307"	"Running 5 METs"
"obs_5534"	"Running 5 METs"
"obs_3455"	"Running 5 METs"
"obs_1766"	"Sitting"
"obs_220"	"Running 7 METs"
"obs_2040"	"Running 7 METs"
"obs_966"	"Running 7 METs"
"obs_4716"	"Sitting"
"obs_2586"	"Sitting"
"obs_59"	"Self Pace walk"
"obs_5769"	"Self Pace walk"
"obs_4571"	"Self Pace walk"
"obs_2971"	"Self Pace walk"
"obs_5092"	"Lying"
"obs_4397"	"Lying"
"obs_6019"	"Lying"
"obs_2278"	"Lying"
"obs_3309"	"Lying"
"obs_3436"	"Sitting"
"obs_3054"	"Sitting"
"obs_3244"	"Sitting"
"obs_4423"	"Running 5 METs"
"obs_3318"	"Running 7 METs"
"obs_4113"	"Lying"
"obs_2602"	"Running 3 METs"
"obs_5087"	"Lying"
"obs_1944"	"Self Pace walk"
"obs_431"	"Self Pace walk"
"obs_4489"	"Self Pace walk"
"obs_4221"	"Self Pace walk"
"obs_4834"	"Lying"
"obs_1408"	"Lying"
"obs_4231"	"Running 3 METs"
"obs_2477"	"Running 3 METs"
"obs_3075"	"Running 3 METs"
"obs_2271"	"Lying"
"obs_3970"	"Running 5 METs"
"obs_1759"	"Running 5 METs"
"obs_4979"	"Running 5 METs"
"obs_2163"	"Running 5 METs"
"obs_2325"	"Running 3 METs"
"obs_3505"	"Running 7 METs"
"obs_366"	"Running 7 METs"
"obs_5394"	"Running 7 METs"
"obs_3358"	"Running 7 METs"
"obs_242"	"Lying"
"obs_4184"	"Sitting"
"obs_1174"	"Sitting"
"obs_3764"	"Self Pace walk"
"obs_2659"	"Self Pace walk"
"obs_2778"	"Self Pace walk"
"obs_3913"	"Lying"
"obs_6181"	"Lying"
"obs_235"	"Running 5 METs"
"obs_1306"	"Running 5 METs"
"obs_5804"	"Running 5 METs"
"obs_3856"	"Lying"
"obs_3740"	"Lying"
"obs_4714"	"Sitting"
"obs_1780"	"Running 7 METs"
"obs_5515"	"Running 7 METs"
"obs_2216"	"Lying"
"obs_3600"	"Lying"
"obs_1499"	"Sitting"
"obs_3170"	"Self Pace walk"
"obs_2423"	"Self Pace walk"
"obs_2876"	"Lying"
"obs_3292"	"Running 3 METs"
"obs_3870"	"Running 3 METs"
"obs_4645"	"Running 3 METs"
"obs_6158"	"Lying"
"obs_5056"	"Running 5 METs"
"obs_2743"	"Sitting"
"obs_6128"	"Sitting"
"obs_889"	"Running 7 METs"
"obs_3157"	"Lying"
"obs_5249"	"Sitting"
"obs_665"	"Self Pace walk"
"obs_1254"	"Lying"
"obs_3098"	"Running 3 METs"
"obs_3601"	"Running 5 METs"
"obs_2738"	"Lying"
"obs_1942"	"Running 5 METs"
"obs_5625"	"Running 5 METs"
"obs_6242"	"Running 5 METs"
"obs_3178"	"Running 5 METs"
"obs_1700"	"Running 5 METs"
"obs_2997"	"Sitting"
"obs_5130"	"Running 7 METs"
"obs_6084"	"Running 7 METs"
"obs_4602"	"Lying"
"obs_945"	"Lying"
"obs_4413"	"Self Pace walk"
"obs_4428"	"Self Pace walk"
"obs_2396"	"Self Pace walk"
"obs_2363"	"Self Pace walk"
"obs_5835"	"Lying"
"obs_5390"	"Lying"
"obs_161"	"Lying"
"obs_4940"	"Lying"
"obs_3584"	"Running 3 METs"
"obs_5014"	"Lying"
"obs_464"	"Lying"
"obs_4786"	"Running 3 METs"
"obs_5706"	"Running 3 METs"
"obs_1823"	"Lying"
"obs_3478"	"Lying"
"obs_3724"	"Running 5 METs"
"obs_4112"	"Running 5 METs"
"obs_5967"	"Running 7 METs"
"obs_427"	"Running 7 METs"
"obs_4134"	"Running 7 METs"
"obs_401"	"Running 5 METs"
"obs_5368"	"Sitting"
"obs_1851"	"Running 5 METs"
"obs_289"	"Running 7 METs"
"obs_482"	"Running 7 METs"
"obs_2034"	"Running 7 METs"
"obs_609"	"Running 7 METs"
"obs_1880"	"Lying"
"obs_3155"	"Lying"
"obs_2863"	"Sitting"
"obs_409"	"Sitting"
"obs_5253"	"Self Pace walk"
"obs_6194"	"Self Pace walk"
"obs_1535"	"Running 3 METs"
"obs_4994"	"Running 3 METs"
"obs_1586"	"Running 3 METs"
"obs_5324"	"Running 3 METs"
"obs_300"	"Running 3 METs"
"obs_4440"	"Running 3 METs"
"obs_2267"	"Running 3 METs"
"obs_4651"	"Lying"
"obs_6123"	"Lying"
"obs_363"	"Running 5 METs"
"obs_4572"	"Running 5 METs"
"obs_4674"	"Sitting"
"obs_649"	"Sitting"
"obs_1148"	"Running 7 METs"
"obs_2434"	"Running 7 METs"
"obs_5641"	"Sitting"
"obs_1260"	"Running 3 METs"
"obs_2793"	"Sitting"
"obs_894"	"Self Pace walk"
"obs_695"	"Self Pace walk"
"obs_3069"	"Lying"
"obs_2985"	"Running 3 METs"
"obs_3866"	"Running 3 METs"
"obs_92"	"Running 3 METs"
"obs_5732"	"Running 3 METs"
"obs_3181"	"Running 5 METs"
"obs_5457"	"Running 5 METs"
"obs_3139"	"Running 5 METs"
"obs_5026"	"Sitting"
"obs_4041"	"Running 7 METs"
"obs_3860"	"Lying"
"obs_5469"	"Lying"
"obs_3805"	"Sitting"
"obs_6161"	"Running 3 METs"
"obs_3129"	"Self Pace walk"
"obs_2733"	"Self Pace walk"
"obs_452"	"Running 3 METs"
"obs_676"	"Running 3 METs"
"obs_1571"	"Lying"
"obs_2670"	"Self Pace walk"
"obs_2229"	"Self Pace walk"
"obs_2316"	"Self Pace walk"
"obs_5936"	"Running 3 METs"
"obs_1496"	"Running 3 METs"
"obs_5207"	"Self Pace walk"
"obs_1223"	"Running 5 METs"
"obs_1620"	"Running 5 METs"
"obs_5798"	"Running 5 METs"
"obs_4859"	"Running 5 METs"
"obs_1965"	"Sitting"
"obs_5877"	"Running 7 METs"
"obs_5585"	"Running 7 METs"
"obs_5808"	"Running 7 METs"
"obs_6045"	"Running 7 METs"
"obs_4583"	"Lying"
"obs_1434"	"Lying"
"obs_1489"	"Lying"
"obs_4256"	"Self Pace walk"
"obs_6026"	"Self Pace walk"
"obs_3567"	"Lying"
"obs_1428"	"Running 3 METs"
"obs_1307"	"Lying"
"obs_5504"	"Running 3 METs"
"obs_2777"	"Running 3 METs"
"obs_968"	"Running 3 METs"
"obs_2197"	"Running 3 METs"
"obs_3591"	"Running 5 METs"
"obs_4376"	"Lying"
"obs_4342"	"Lying"
"obs_5229"	"Running 5 METs"
"obs_1135"	"Self Pace walk"
"obs_1774"	"Self Pace walk"
"obs_2286"	"Self Pace walk"
"obs_4963"	"Running 7 METs"
"obs_4670"	"Running 7 METs"
"obs_2409"	"Running 7 METs"
"obs_591"	"Lying"
"obs_6204"	"Sitting"
